KANTON,GA,HF,POPULATION,GA%,HF%
BE,84365.0,401989.0,1350552,6.246705050971750,29.76479247004190
SO,17693.0,84775.0,351198,5.037898849082280,24.138804890688400
AG,41169.0,211250.0,865310,4.757716887589420,24.413216072852500
SH,4489.0,27150.0,108283,4.1456184257916800,25.073187850355100
ZH,80086.0,645830.0,2035106,3.9352249956513300,31.734464936961500
ZG,7408.0,56154.0,194449,3.809739314678910,28.878523417451400
LU,20441.0,155530.0,536770,3.808148741546660,28.975166272332700
GL,1935.0,11320.0,54547,3.5473994903477700,20.752745338882100
SZ,8097.0,61911.0,229118,3.533986853935530,27.021447463752300
SG,22853.0,161490.0,671327,3.4041532665899000,24.055341137776400
TG,11800.0,85159.0,350338,3.368175875868450,24.307668594328900
BS,8815.0,70894.0,271816,3.243002619419020,26.081614033022300
VS,16762.0,102608.0,523747,3.200400193223060,19.591138469528200
FR,13571.0,72455.0,430769,3.1504124020066400,16.819919724957000
UR,1368.0,13174.0,47306,2.891810763962290,27.848475880438
AR,2033.0,19350.0,74676,2.722427553698650,25.911939578981200
NE,6284.0,39881.0,238395,2.6359613246922100,16.72895824157390
JU,2646.0,15301.0,101924,2.596051960284130,15.012165927553900
OW,2114.0,24979.0,85447,2.47404824042974,29.233325921331400
VD,28165.0,225504.0,1152314,2.444212254645870,19.569665907035800
GR,7378.0,64803.0,324580,2.2730913796290600,19.96518577854460
BL,8077.0,83528.0,373967,2.1598162404704200,22.33566063315750
NW,1284.0,18232.0,60330,2.1282943809050200,30.220454168738600
AI,429.0,5917.0,26806,1.600387972841900,22.073416399313600
GE,5810.0,90068.0,717810,0.8094063888772790,12.547610091807000
TI,3816.0,47105.0,554951,0.6876282770911310,8.488136790455370
