Jahr_An_Anno,GA_AG,HTA_ADT,GA_pro_100,HF_pro_100
2012,435542,2330195,3.7394027560561325,20.006193673969946
2013,436138,2286881,3.744492465434288,19.63417238086301
2014,447062,2295287,3.8382808809547564,19.706340973744133
2015,453333,2281736,3.8921229783554305,19.590008042963575
2016,466063,2346753,4.001417649721866,20.14821788843512
2017,474398,2479322,4.0729762979082205,21.286387676344347
2018,484051,2543368,4.15585278601253,21.836258965801363
2019,492987,2662672,4.232590137873606,22.860641857883046
2020,433926,2668132,3.7255155825227377,22.90751727766384
2021,405769,2774056,3.4837833721375286,23.817024381306467
